Date,Dividends
2008-04-11,0.436585
2008-10-17,0.138520
2009-04-16,0.524586
2009-10-16,0.492036
2010-04-15,0.421661
2010-10-15,0.471881
2011-01-17,0.320048
2011-04-14,0.608247
2011-08-12,0.933403
2011-10-17,0.634329
2012-04-16,1.075280
2012-10-17,1.186520
2013-04-17,0.864045
2013-10-18,0.120605
2014-04-15,0.898904
2014-10-17,0.990870
2015-04-15,0.601761
2015-10-16,0.373610
2016-12-02,0.166294
2017-04-24,0.905572
2017-12-22,0.419912
2018-03-07,0.488511
2018-08-03,1.480362
2019-12-27,1.414364
2020-09-22,2.407510
2021-03-05,4.261646
2021-06-24,2.189670
2021-09-23,8.197239
2022-03-09,3.719256
2022-08-12,3.572057
2022-12-13,0.292013
2023-03-14,1.827646
2023-08-14,1.918472
